"AF3","AF4","F3","F4","F7","F8","FC5","FC6","O1","O2","P7","P8","T7","T8",
-33.0205,-15.1846,-42.1795,1.6872,42.1793,-1.6872,-5.5436,-3.6154,25.7899,-9.8819,5.5436,7.4718,11.8101,17.1128,
-28.6291,-20.0583,-42.541,-10.4653,35.31,-15.686,-19.311,-2.4344,17.4933,3.2442,18.7081,5.0951,17.3683,3.0708,
-21.8497,-10.9006,-32.0346,-2.3656,39.6993,-0.64483,-4.0523,-1.083,26.8081,-3.4584,8.1861,8.4048,15.1209,9.394,
-25.1185,-10.9702,-32.7641,-3.4287,32.7378,4.6965,-8.6299,-1.7412,16.7637,-9.7586,1.1868,0.91086,4.3315,8.1073,
-19.0316,-9.5886,-29.1108,-3.9459,35.3533,0.79929,-12.6914,1.0144,13.1068,-0.73692,8.1054,-1.313,8.1694,8.3442,
-20.0591,-6.362,-26.6412,0.8699,35.883,0.99253,-4.4579,-2.1797,20.2739,-4.7903,-1.7807,4.3092,7.438,16.2794,
-23.676,-14.1752,-28.8991,-7.8592,21.197,-13.167,-16.7239,2.2894,11.3447,-0.16409,10.3773,3.5687,8.9199,4.6974,
-18.6401,-8.263,-18.7293,-0.39774,26.9148,1.723,-3.9101,-1.4632,15.7259,-9.5545,4.6932,1.1857,7.6616,7.0669,
-15.5935,-5.839,-12.7851,1.5543,25.7818,5.2348,-2.2297,-3.7855,12.8541,-5.1248,-3.3012,0.1502,3.8279,8.0891,
-9.3552,-6.9349,-8.6437,0.014801,24.2349,-2.7921,-4.0241,0.29799,12.0824,4.3417,7.9841,-1.3051,10.3467,5.1932,
-11.9274,-5.7957,-5.9555,3.6296,23.022,3.8832,4.6532,-7.6739,9.1886,-10.0188,-3.341,-6.2882,5.6288,10.9074,
-10.2474,-6.4121,2.1146,0.037336,18.2663,-6.4729,-2.3744,2.4275,1.4064,4.6823,6.0185,-2.5365,8.1831,6.8785,
-11.802,-6.7505,8.4952,-0.20587,22.7139,-2.4689,3.3117,2.0409,11.204,3.9192,4.4521,-2.1433,7.9331,6.7072,
-11.3348,-6.1042,4.3703,1.0115,20.6279,0.81248,1.9079,1.1953,12.7011,0.55082,2.9799,-0.80965,8.1802,13.2944,
